--------------------Report--------------------
[0]  master A: 2  master B: 2  master ALUControl: 0  master result: 2  slave result: 2      correct? 1
[3345]  master A: 6674  master B: 9993  master ALUControl: 0  master result: 512  slave result: 512      correct? 1
[3346]  master A: 6676  master B: 9996  master ALUControl: 1  master result: 15640  slave result: 15640      correct? 1
[3347]  master A: 6678  master B: 9999  master ALUControl: 2  master result: 4294963975  slave result: 4294963975      correct? 1
[3348]  master A: 6680  master B: 10002  master ALUControl: 3  master result: 4294963974  slave result: 16682      correct? 0
[3349]  master A: 6682  master B: 10005  master ALUControl: 4  master result: 1  slave result: 1      correct? 1
[3350]  master A: 6684  master B: 10008  master ALUControl: 5  master result: 4294951139  slave result: 4294951139      correct? 1
[3351]  master A: 6686  master B: 10011  master ALUControl: 6  master result: 4294951139  slave result: 4294951139      correct? 1
[3352]  master A: 6688  master B: 10014  master ALUControl: 7  master result: 0  slave result: 0      correct? 1
[3353]  master A: 6690  master B: 10017  master ALUControl: 8  master result: 0  slave result: 0      correct? 1
[3354]  master A: 6692  master B: 10020  master ALUControl: 9  master result: 0  slave result: 0      correct? 1
[3355]  master A: 6694  master B: 10023  master ALUControl: 10  master result: 0  slave result: 0      correct? 1
[3356]  master A: 6696  master B: 10026  master ALUControl: 11  master result: 2315255814  slave result: 2315255814      correct? 1
[3357]  master A: 6698  master B: 10029  master ALUControl: 12  master result: 15623  slave result: 15623      correct? 1
[3358]  master A: 6700  master B: 10032  master ALUControl: 13  master result: 1  slave result: 1      correct? 1
[3359]  master A: 6702  master B: 10035  master ALUControl: 14  master result: 1  slave result: 1      correct? 1
[3360]  master A: 6704  master B: 10038  master ALUControl: 0  master result: 560  slave result: 560      correct? 1
[3361]  master A: 6706  master B: 10041  master ALUControl: 1  master result: 15627  slave result: 15627      correct? 1
[3362]  master A: 6708  master B: 10044  master ALUControl: 2  master result: 4294963960  slave result: 4294963960      correct? 1
[3363]  master A: 6710  master B: 10047  master ALUControl: 3  master result: 4294963959  slave result: 16757      correct? 0
[3364]  master A: 6712  master B: 10050  master ALUControl: 4  master result: 1  slave result: 1      correct? 1
[3365]  master A: 6714  master B: 10053  master ALUControl: 5  master result: 4294951040  slave result: 4294951040      correct? 1
[3366]  master A: 6716  master B: 10056  master ALUControl: 6  master result: 4294951040  slave result: 4294951040      correct? 1
[3367]  master A: 6718  master B: 10059  master ALUControl: 7  master result: 0  slave result: 0      correct? 1
[3368]  master A: 6720  master B: 10062  master ALUControl: 8  master result: 0  slave result: 0      correct? 1
[3369]  master A: 6722  master B: 10065  master ALUControl: 9  master result: 0  slave result: 0      correct? 1
[3370]  master A: 6724  master B: 10068  master ALUControl: 10  master result: 0  slave result: 0      correct? 1
[3371]  master A: 6726  master B: 10071  master ALUControl: 11  master result: 0  slave result: 0      correct? 1
[3372]  master A: 6728  master B: 10074  master ALUControl: 12  master result: 15634  slave result: 15634      correct? 1
[3373]  master A: 6730  master B: 10077  master ALUControl: 13  master result: 1  slave result: 1      correct? 1
[3374]  master A: 6732  master B: 10080  master ALUControl: 14  master result: 1  slave result: 1      correct? 1
[3375]  master A: 6734  master B: 10083  master ALUControl: 0  master result: 578  slave result: 578      correct? 1
[3376]  master A: 6736  master B: 10086  master ALUControl: 1  master result: 15670  slave result: 15670      correct? 1
[3377]  master A: 6738  master B: 10089  master ALUControl: 2  master result: 4294963945  slave result: 4294963945      correct? 1
[3378]  master A: 6740  master B: 10092  master ALUControl: 3  master result: 4294963944  slave result: 16832      correct? 0
[3379]  master A: 6742  master B: 10095  master ALUControl: 4  master result: 1  slave result: 1      correct? 1
[3380]  master A: 6744  master B: 10098  master ALUControl: 5  master result: 4294951045  slave result: 4294951045      correct? 1
[3381]  master A: 6746  master B: 10101  master ALUControl: 6  master result: 4294951045  slave result: 4294951045      correct? 1
[3382]  master A: 6748  master B: 10104  master ALUControl: 7  master result: 0  slave result: 0      correct? 1
[3383]  master A: 6750  master B: 10107  master ALUControl: 8  master result: 0  slave result: 0      correct? 1
[3384]  master A: 6752  master B: 10110  master ALUControl: 9  master result: 0  slave result: 0      correct? 1
[3385]  master A: 6754  master B: 10113  master ALUControl: 10  master result: 0  slave result: 0      correct? 1
[3386]  master A: 6756  master B: 10116  master ALUControl: 11  master result: 422  slave result: 422      correct? 1
[3387]  master A: 6758  master B: 10119  master ALUControl: 12  master result: 15841  slave result: 15841      correct? 1
[3388]  master A: 6760  master B: 10122  master ALUControl: 13  master result: 1  slave result: 1      correct? 1
[3389]  master A: 6762  master B: 10125  master ALUControl: 14  master result: 1  slave result: 1      correct? 1
[3390]  master A: 6764  master B: 10128  master ALUControl: 0  master result: 512  slave result: 512      correct? 1
[3391]  master A: 6766  master B: 10131  master ALUControl: 1  master result: 15869  slave result: 15869      correct? 1
[3392]  master A: 6768  master B: 10134  master ALUControl: 2  master result: 4294963930  slave result: 4294963930      correct? 1
[3393]  master A: 6770  master B: 10137  master ALUControl: 3  master result: 4294963929  slave result: 16907      correct? 0
[3394]  master A: 6772  master B: 10140  master ALUControl: 4  master result: 1  slave result: 1      correct? 1
[3395]  master A: 6774  master B: 10143  master ALUControl: 5  master result: 4294950912  slave result: 4294950912      correct? 1
[3396]  master A: 6776  master B: 10146  master ALUControl: 6  master result: 4294950912  slave result: 4294950912      correct? 1
[3397]  master A: 6778  master B: 10149  master ALUControl: 7  master result: 0  slave result: 0      correct? 1
[3398]  master A: 6780  master B: 10152  master ALUControl: 8  master result: 0  slave result: 0      correct? 1
[3399]  master A: 6782  master B: 10155  master ALUControl: 9  master result: 0  slave result: 0      correct? 1
[3400]  master A: 6784  master B: 10158  master ALUControl: 10  master result: 0  slave result: 0      correct? 1
[3401]  master A: 6786  master B: 10161  master ALUControl: 11  master result: 222363648  slave result: 222363648      correct? 1
[3402]  master A: 6788  master B: 10164  master ALUControl: 12  master result: 15664  slave result: 15664      correct? 1
[3403]  master A: 6790  master B: 10167  master ALUControl: 13  master result: 1  slave result: 1      correct? 1
[3404]  master A: 6792  master B: 10170  master ALUControl: 14  master result: 1  slave result: 1      correct? 1
[3405]  master A: 6794  master B: 10173  master ALUControl: 0  master result: 648  slave result: 648      correct? 1
[3406]  master A: 6796  master B: 10176  master ALUControl: 1  master result: 15692  slave result: 15692      correct? 1
[3407]  master A: 6798  master B: 10179  master ALUControl: 2  master result: 4294963915  slave result: 4294963915      correct? 1
[3408]  master A: 6800  master B: 10182  master ALUControl: 3  master result: 4294963914  slave result: 16982      correct? 0
[3409]  master A: 6802  master B: 10185  master ALUControl: 4  master result: 1  slave result: 1      correct? 1
[3410]  master A: 6804  master B: 10188  master ALUControl: 5  master result: 4294950947  slave result: 4294950947      correct? 1
[3411]  master A: 6806  master B: 10191  master ALUControl: 6  master result: 4294950947  slave result: 4294950947      correct? 1
[3412]  master A: 6808  master B: 10194  master ALUControl: 7  master result: 0  slave result: 0      correct? 1
[3413]  master A: 6810  master B: 10197  master ALUControl: 8  master result: 0  slave result: 0      correct? 1
[3414]  master A: 6812  master B: 10200  master ALUControl: 9  master result: 0  slave result: 0      correct? 1
[3415]  master A: 6814  master B: 10203  master ALUControl: 10  master result: 0  slave result: 0      correct? 1
[3416]  master A: 6816  master B: 10206  master ALUControl: 11  master result: 0  slave result: 0      correct? 1
[3417]  master A: 6818  master B: 10209  master ALUControl: 12  master result: 15683  slave result: 15683      correct? 1
[3418]  master A: 6820  master B: 10212  master ALUControl: 13  master result: 1  slave result: 1      correct? 1
[3419]  master A: 6822  master B: 10215  master ALUControl: 14  master result: 1  slave result: 1      correct? 1
[3420]  master A: 6824  master B: 10218  master ALUControl: 0  master result: 680  slave result: 680      correct? 1
[3421]  master A: 6826  master B: 10221  master ALUControl: 1  master result: 15687  slave result: 15687      correct? 1
[3422]  master A: 6828  master B: 10224  master ALUControl: 2  master result: 4294963900  slave result: 4294963900      correct? 1
[3423]  master A: 6830  master B: 10227  master ALUControl: 3  master result: 4294963899  slave result: 17057      correct? 0
[3424]  master A: 6832  master B: 10230  master ALUControl: 4  master result: 1  slave result: 1      correct? 1
[3425]  master A: 6834  master B: 10233  master ALUControl: 5  master result: 4294950916  slave result: 4294950916      correct? 1
[3426]  master A: 6836  master B: 10236  master ALUControl: 6  master result: 4294950916  slave result: 4294950916      correct? 1
[3427]  master A: 6838  master B: 10239  master ALUControl: 7  master result: 0  slave result: 0      correct? 1
[3428]  master A: 6840  master B: 10242  master ALUControl: 8  master result: 0  slave result: 0      correct? 1
[3429]  master A: 6842  master B: 10245  master ALUControl: 9  master result: 0  slave result: 0      correct? 1
[3430]  master A: 6844  master B: 10248  master ALUControl: 10  master result: 0  slave result: 0      correct? 1
[3431]  master A: 6846  master B: 10251  master ALUControl: 11  master result: 3  slave result: 3      correct? 1
[3432]  master A: 6848  master B: 10254  master ALUControl: 12  master result: 13006  slave result: 13006      correct? 1
[3433]  master A: 6850  master B: 10257  master ALUControl: 13  master result: 1  slave result: 1      correct? 1
[3434]  master A: 6852  master B: 10260  master ALUControl: 14  master result: 1  slave result: 1      correct? 1
[3435]  master A: 6854  master B: 10263  master ALUControl: 0  master result: 2054  slave result: 2054      correct? 1
[3436]  master A: 6856  master B: 10266  master ALUControl: 1  master result: 13010  slave result: 13010      correct? 1
[3437]  master A: 6858  master B: 10269  master ALUControl: 2  master result: 4294963885  slave result: 4294963885      correct? 1
[3438]  master A: 6860  master B: 10272  master ALUControl: 3  master result: 4294963884  slave result: 17132      correct? 0
[3439]  master A: 6862  master B: 10275  master ALUControl: 4  master result: 1  slave result: 1      correct? 1
[3440]  master A: 6864  master B: 10278  master ALUControl: 5  master result: 4294952201  slave result: 4294952201      correct? 1
[3441]  master A: 6866  master B: 10281  master ALUControl: 6  master result: 4294952201  slave result: 4294952201      correct? 1
[3442]  master A: 6868  master B: 10284  master ALUControl: 7  master result: 0  slave result: 0      correct? 1
[3443]  master A: 6870  master B: 10287  master ALUControl: 8  master result: 0  slave result: 0      correct? 1
[3444]  master A: 6872  master B: 10290  master ALUControl: 9  master result: 0  slave result: 0      correct? 1
[3445]  master A: 6874  master B: 10293  master ALUControl: 10  master result: 0  slave result: 0      correct? 1
[3446]  master A: 6876  master B: 10296  master ALUControl: 11  master result: 1760256  slave result: 1760256      correct? 1
[3447]  master A: 6878  master B: 10299  master ALUControl: 12  master result: 13029  slave result: 13029      correct? 1
[3448]  master A: 6880  master B: 10302  master ALUControl: 13  master result: 1  slave result: 1      correct? 1
[3449]  master A: 6882  master B: 10305  master ALUControl: 14  master result: 1  slave result: 1      correct? 1
[3450]  master A: 6884  master B: 10308  master ALUControl: 0  master result: 2116  slave result: 2116      correct? 1
[3451]  master A: 6886  master B: 10311  master ALUControl: 1  master result: 12961  slave result: 12961      correct? 1
[3452]  master A: 6888  master B: 10314  master ALUControl: 2  master result: 4294963870  slave result: 4294963870      correct? 1
[3453]  master A: 6890  master B: 10317  master ALUControl: 3  master result: 4294963869  slave result: 17207      correct? 0
[3454]  master A: 6892  master B: 10320  master ALUControl: 4  master result: 1  slave result: 1      correct? 1
[3455]  master A: 6894  master B: 10323  master ALUControl: 5  master result: 4294952192  slave result: 4294952192      correct? 1
[3456]  master A: 6896  master B: 10326  master ALUControl: 6  master result: 4294952192  slave result: 4294952192      correct? 1
[3457]  master A: 6898  master B: 10329  master ALUControl: 7  master result: 0  slave result: 0      correct? 1
[3458]  master A: 6900  master B: 10332  master ALUControl: 8  master result: 0  slave result: 0      correct? 1
[3459]  master A: 6902  master B: 10335  master ALUControl: 9  master result: 0  slave result: 0      correct? 1
[3460]  master A: 6904  master B: 10338  master ALUControl: 10  master result: 0  slave result: 0      correct? 1
[3461]  master A: 6906  master B: 10341  master ALUControl: 11  master result: 3489661143  slave result: 3489661143      correct? 1
[3462]  master A: 6908  master B: 10344  master ALUControl: 12  master result: 12948  slave result: 12948      correct? 1
[3463]  master A: 6910  master B: 10347  master ALUControl: 13  master result: 1  slave result: 1      correct? 1
[3464]  master A: 6912  master B: 10350  master ALUControl: 14  master result: 1  slave result: 1      correct? 1
[3465]  master A: 6914  master B: 10353  master ALUControl: 0  master result: 2048  slave result: 2048      correct? 1
[3466]  master A: 6916  master B: 10356  master ALUControl: 1  master result: 13168  slave result: 13168      correct? 1
[3467]  master A: 6918  master B: 10359  master ALUControl: 2  master result: 4294963855  slave result: 4294963855      correct? 1
[3468]  master A: 6920  master B: 10362  master ALUControl: 3  master result: 4294963854  slave result: 17282      correct? 0
[3469]  master A: 6922  master B: 10365  master ALUControl: 4  master result: 1  slave result: 1      correct? 1
[3470]  master A: 6924  master B: 10368  master ALUControl: 5  master result: 4294952051  slave result: 4294952051      correct? 1
[3471]  master A: 6926  master B: 10371  master ALUControl: 6  master result: 4294952051  slave result: 4294952051      correct? 1
[3472]  master A: 6928  master B: 10374  master ALUControl: 7  master result: 0  slave result: 0      correct? 1
[3473]  master A: 6930  master B: 10377  master ALUControl: 8  master result: 0  slave result: 0      correct? 1
[3474]  master A: 6932  master B: 10380  master ALUControl: 9  master result: 0  slave result: 0      correct? 1
[3475]  master A: 6934  master B: 10383  master ALUControl: 10  master result: 0  slave result: 0      correct? 1
[3476]  master A: 6936  master B: 10386  master ALUControl: 11  master result: 0  slave result: 0      correct? 1
[3477]  master A: 6938  master B: 10389  master ALUControl: 12  master result: 13199  slave result: 13199      correct? 1
[3478]  master A: 6940  master B: 10392  master ALUControl: 13  master result: 1  slave result: 1      correct? 1
[3479]  master A: 6942  master B: 10395  master ALUControl: 14  master result: 1  slave result: 1      correct? 1
[3480]  master A: 6944  master B: 10398  master ALUControl: 0  master result: 2048  slave result: 2048      correct? 1
[3481]  master A: 6946  master B: 10401  master ALUControl: 1  master result: 13187  slave result: 13187      correct? 1
[3482]  master A: 6948  master B: 10404  master ALUControl: 2  master result: 4294963840  slave result: 4294963840      correct? 1
[3483]  master A: 6950  master B: 10407  master ALUControl: 3  master result: 4294963839  slave result: 17357      correct? 0
[3484]  master A: 6952  master B: 10410  master ALUControl: 4  master result: 1  slave result: 1      correct? 1
[3485]  master A: 6954  master B: 10413  master ALUControl: 5  master result: 4294952016  slave result: 4294952016      correct? 1
[3486]  master A: 6956  master B: 10416  master ALUControl: 6  master result: 4294952016  slave result: 4294952016      correct? 1
[3487]  master A: 6958  master B: 10419  master ALUControl: 7  master result: 0  slave result: 0      correct? 1
[3488]  master A: 6960  master B: 10422  master ALUControl: 8  master result: 0  slave result: 0      correct? 1
[3489]  master A: 6962  master B: 10425  master ALUControl: 9  master result: 0  slave result: 0      correct? 1
[3490]  master A: 6964  master B: 10428  master ALUControl: 10  master result: 0  slave result: 0      correct? 1
[3491]  master A: 6966  master B: 10431  master ALUControl: 11  master result: 13932  slave result: 13932      correct? 1
[3492]  master A: 6968  master B: 10434  master ALUControl: 12  master result: 13306  slave result: 13306      correct? 1
[3493]  master A: 6970  master B: 10437  master ALUControl: 13  master result: 1  slave result: 1      correct? 1
[3494]  master A: 6972  master B: 10440  master ALUControl: 14  master result: 1  slave result: 1      correct? 1
[3495]  master A: 6974  master B: 10443  master ALUControl: 0  master result: 2058  slave result: 2058      correct? 1
[3496]  master A: 6976  master B: 10446  master ALUControl: 1  master result: 13198  slave result: 13198      correct? 1
[3497]  master A: 6978  master B: 10449  master ALUControl: 2  master result: 4294963825  slave result: 4294963825      correct? 1
[3498]  master A: 6980  master B: 10452  master ALUControl: 3  master result: 4294963824  slave result: 17432      correct? 0
[3499]  master A: 6982  master B: 10455  master ALUControl: 4  master result: 1  slave result: 1      correct? 1
[3500]  master A: 6984  master B: 10458  master ALUControl: 5  master result: 4294951973  slave result: 4294951973      correct? 1
[3501]  master A: 6986  master B: 10461  master ALUControl: 6  master result: 4294951973  slave result: 4294951973      correct? 1
[3502]  master A: 6988  master B: 10464  master ALUControl: 7  master result: 0  slave result: 0      correct? 1
[3503]  master A: 6990  master B: 10467  master ALUControl: 8  master result: 0  slave result: 0      correct? 1
[3504]  master A: 6992  master B: 10470  master ALUControl: 9  master result: 0  slave result: 0      correct? 1
[3505]  master A: 6994  master B: 10473  master ALUControl: 10  master result: 0  slave result: 0      correct? 1
[3506]  master A: 6996  master B: 10476  master ALUControl: 11  master result: 3040870401  slave result: 3040870401      correct? 1
[3507]  master A: 6998  master B: 10479  master ALUControl: 12  master result: 13241  slave result: 13241      correct? 1
[3508]  master A: 7000  master B: 10482  master ALUControl: 13  master result: 1  slave result: 1      correct? 1
[3509]  master A: 7002  master B: 10485  master ALUControl: 14  master result: 1  slave result: 1      correct? 1
[3510]  master A: 7004  master B: 10488  master ALUControl: 0  master result: 2136  slave result: 2136      correct? 1
[3511]  master A: 7006  master B: 10491  master ALUControl: 1  master result: 13221  slave result: 13221      correct? 1
[3512]  master A: 7008  master B: 10494  master ALUControl: 2  master result: 4294963810  slave result: 4294963810      correct? 1
[3513]  master A: 7010  master B: 10497  master ALUControl: 3  master result: 4294963809  slave result: 17507      correct? 0
[3514]  master A: 7012  master B: 10500  master ALUControl: 4  master result: 1  slave result: 1      correct? 1
[3515]  master A: 7014  master B: 10503  master ALUControl: 5  master result: 4294952088  slave result: 4294952088      correct? 1
[3516]  master A: 7016  master B: 10506  master ALUControl: 6  master result: 4294952088  slave result: 4294952088      correct? 1
[3517]  master A: 7018  master B: 10509  master ALUControl: 7  master result: 0  slave result: 0      correct? 1
[3518]  master A: 7020  master B: 10512  master ALUControl: 8  master result: 0  slave result: 0      correct? 1
[3519]  master A: 7022  master B: 10515  master ALUControl: 9  master result: 0  slave result: 0      correct? 1
[3520]  master A: 7024  master B: 10518  master ALUControl: 10  master result: 0  slave result: 0      correct? 1
[3521]  master A: 7026  master B: 10521  master ALUControl: 11  master result: 0  slave result: 0      correct? 1
[3522]  master A: 7028  master B: 10524  master ALUControl: 12  master result: 12904  slave result: 12904      correct? 1
[3523]  master A: 7030  master B: 10527  master ALUControl: 13  master result: 1  slave result: 1      correct? 1
[3524]  master A: 7032  master B: 10530  master ALUControl: 14  master result: 1  slave result: 1      correct? 1
[3525]  master A: 7034  master B: 10533  master ALUControl: 0  master result: 2336  slave result: 2336      correct? 1
[3526]  master A: 7036  master B: 10536  master ALUControl: 1  master result: 12884  slave result: 12884      correct? 1
[3527]  master A: 7038  master B: 10539  master ALUControl: 2  master result: 4294963795  slave result: 4294963795      correct? 1
[3528]  master A: 7040  master B: 10542  master ALUControl: 3  master result: 4294963794  slave result: 17582      correct? 0
[3529]  master A: 7042  master B: 10545  master ALUControl: 4  master result: 1  slave result: 1      correct? 1
[3530]  master A: 7044  master B: 10548  master ALUControl: 5  master result: 4294952011  slave result: 4294952011      correct? 1
[3531]  master A: 7046  master B: 10551  master ALUControl: 6  master result: 4294952011  slave result: 4294952011      correct? 1
[3532]  master A: 7048  master B: 10554  master ALUControl: 7  master result: 0  slave result: 0      correct? 1
[3533]  master A: 7050  master B: 10557  master ALUControl: 8  master result: 0  slave result: 0      correct? 1
[3534]  master A: 7052  master B: 10560  master ALUControl: 9  master result: 0  slave result: 0      correct? 1
[3535]  master A: 7054  master B: 10563  master ALUControl: 10  master result: 0  slave result: 0      correct? 1
[3536]  master A: 7056  master B: 10566  master ALUControl: 11  master result: 110  slave result: 110      correct? 1
[3537]  master A: 7058  master B: 10569  master ALUControl: 12  master result: 13019  slave result: 13019      correct? 1
[3538]  master A: 7060  master B: 10572  master ALUControl: 13  master result: 1  slave result: 1      correct? 1
[3539]  master A: 7062  master B: 10575  master ALUControl: 14  master result: 1  slave result: 1      correct? 1
[3540]  master A: 7064  master B: 10578  master ALUControl: 0  master result: 2320  slave result: 2320      correct? 1
[3541]  master A: 7066  master B: 10581  master ALUControl: 1  master result: 13007  slave result: 13007      correct? 1
[3542]  master A: 7068  master B: 10584  master ALUControl: 2  master result: 4294963780  slave result: 4294963780      correct? 1
[3543]  master A: 7070  master B: 10587  master ALUControl: 3  master result: 4294963779  slave result: 17657      correct? 0
[3544]  master A: 7072  master B: 10590  master ALUControl: 4  master result: 1  slave result: 1      correct? 1
[3545]  master A: 7074  master B: 10593  master ALUControl: 5  master result: 4294951964  slave result: 4294951964      correct? 1
[3546]  master A: 7076  master B: 10596  master ALUControl: 6  master result: 4294951964  slave result: 4294951964      correct? 1
[3547]  master A: 7078  master B: 10599  master ALUControl: 7  master result: 0  slave result: 0      correct? 1
[3548]  master A: 7080  master B: 10602  master ALUControl: 8  master result: 0  slave result: 0      correct? 1
[3549]  master A: 7082  master B: 10605  master ALUControl: 9  master result: 0  slave result: 0      correct? 1
[3550]  master A: 7084  master B: 10608  master ALUControl: 10  master result: 0  slave result: 0      correct? 1
[3551]  master A: 7086  master B: 10611  master ALUControl: 11  master result: 58048512  slave result: 58048512      correct? 1
[3552]  master A: 7088  master B: 10614  master ALUControl: 12  master result: 12998  slave result: 12998      correct? 1
[3553]  master A: 7090  master B: 10617  master ALUControl: 13  master result: 1  slave result: 1      correct? 1
[3554]  master A: 7092  master B: 10620  master ALUControl: 14  master result: 1  slave result: 1      correct? 1
[3555]  master A: 7094  master B: 10623  master ALUControl: 0  master result: 2358  slave result: 2358      correct? 1
[3556]  master A: 7096  master B: 10626  master ALUControl: 1  master result: 12858  slave result: 12858      correct? 1
[3557]  master A: 7098  master B: 10629  master ALUControl: 2  master result: 4294963765  slave result: 4294963765      correct? 1
[3558]  master A: 7100  master B: 10632  master ALUControl: 3  master result: 4294963764  slave result: 17732      correct? 0
[3559]  master A: 7102  master B: 10635  master ALUControl: 4  master result: 1  slave result: 1      correct? 1
[3560]  master A: 7104  master B: 10638  master ALUControl: 5  master result: 4294951985  slave result: 4294951985      correct? 1
[3561]  master A: 7106  master B: 10641  master ALUControl: 6  master result: 4294951985  slave result: 4294951985      correct? 1
[3562]  master A: 7108  master B: 10644  master ALUControl: 7  master result: 0  slave result: 0      correct? 1
[3563]  master A: 7110  master B: 10647  master ALUControl: 8  master result: 0  slave result: 0      correct? 1
[3564]  master A: 7112  master B: 10650  master ALUControl: 9  master result: 0  slave result: 0      correct? 1
[3565]  master A: 7114  master B: 10653  master ALUControl: 10  master result: 0  slave result: 0      correct? 1
[3566]  master A: 7116  master B: 10656  master ALUControl: 11  master result: 7116  slave result: 7116      correct? 1
[3567]  master A: 7118  master B: 10659  master ALUControl: 12  master result: 12909  slave result: 12909      correct? 1
[3568]  master A: 7120  master B: 10662  master ALUControl: 13  master result: 1  slave result: 1      correct? 1
[3569]  master A: 7122  master B: 10665  master ALUControl: 14  master result: 1  slave result: 1      correct? 1
[3570]  master A: 7124  master B: 10668  master ALUControl: 0  master result: 2436  slave result: 2436      correct? 1
[3571]  master A: 7126  master B: 10671  master ALUControl: 1  master result: 12921  slave result: 12921      correct? 1
[3572]  master A: 7128  master B: 10674  master ALUControl: 2  master result: 4294963750  slave result: 4294963750      correct? 1
[3573]  master A: 7130  master B: 10677  master ALUControl: 3  master result: 4294963749  slave result: 17807      correct? 0
[3574]  master A: 7132  master B: 10680  master ALUControl: 4  master result: 1  slave result: 1      correct? 1
[3575]  master A: 7134  master B: 10683  master ALUControl: 5  master result: 4294951936  slave result: 4294951936      correct? 1
[3576]  master A: 7136  master B: 10686  master ALUControl: 6  master result: 4294951936  slave result: 4294951936      correct? 1
[3577]  master A: 7138  master B: 10689  master ALUControl: 7  master result: 0  slave result: 0      correct? 1
[3578]  master A: 7140  master B: 10692  master ALUControl: 8  master result: 0  slave result: 0      correct? 1
[3579]  master A: 7142  master B: 10695  master ALUControl: 9  master result: 0  slave result: 0      correct? 1
[3580]  master A: 7144  master B: 10698  master ALUControl: 10  master result: 0  slave result: 0      correct? 1
[3581]  master A: 7146  master B: 10701  master ALUControl: 11  master result: 0  slave result: 0      correct? 1
[3582]  master A: 7148  master B: 10704  master ALUControl: 12  master result: 12860  slave result: 12860      correct? 1
[3583]  master A: 7150  master B: 10707  master ALUControl: 13  master result: 1  slave result: 1      correct? 1
[3584]  master A: 7152  master B: 10710  master ALUControl: 14  master result: 1  slave result: 1      correct? 1
[3585]  master A: 7154  master B: 10713  master ALUControl: 0  master result: 2512  slave result: 2512      correct? 1
[3586]  master A: 7156  master B: 10716  master ALUControl: 1  master result: 12840  slave result: 12840      correct? 1
[3587]  master A: 7158  master B: 10719  master ALUControl: 2  master result: 4294963735  slave result: 4294963735      correct? 1
[3588]  master A: 7160  master B: 10722  master ALUControl: 3  master result: 4294963734  slave result: 17882      correct? 0
[3589]  master A: 7162  master B: 10725  master ALUControl: 4  master result: 1  slave result: 1      correct? 1
[3590]  master A: 7164  master B: 10728  master ALUControl: 5  master result: 4294951939  slave result: 4294951939      correct? 1
[3591]  master A: 7166  master B: 10731  master ALUControl: 6  master result: 4294951939  slave result: 4294951939      correct? 1
[3592]  master A: 7168  master B: 10734  master ALUControl: 7  master result: 0  slave result: 0      correct? 1
[3593]  master A: 7170  master B: 10737  master ALUControl: 8  master result: 0  slave result: 0      correct? 1
[3594]  master A: 7172  master B: 10740  master ALUControl: 9  master result: 0  slave result: 0      correct? 1
[3595]  master A: 7174  master B: 10743  master ALUControl: 10  master result: 0  slave result: 0      correct? 1
[3596]  master A: 7176  master B: 10746  master ALUControl: 11  master result: 459264  slave result: 459264      correct? 1
[3597]  master A: 7178  master B: 10749  master ALUControl: 12  master result: 13815  slave result: 13815      correct? 1
[3598]  master A: 7180  master B: 10752  master ALUControl: 13  master result: 1  slave result: 1      correct? 1
[3599]  master A: 7182  master B: 10755  master ALUControl: 14  master result: 1  slave result: 1      correct? 1
[3600]  master A: 7184  master B: 10758  master ALUControl: 0  master result: 2048  slave result: 2048      correct? 1
[3601]  master A: 7186  master B: 10761  master ALUControl: 1  master result: 13851  slave result: 13851      correct? 1
[3602]  master A: 7188  master B: 10764  master ALUControl: 2  master result: 4294963720  slave result: 4294963720      correct? 1
[3603]  master A: 7190  master B: 10767  master ALUControl: 3  master result: 4294963719  slave result: 17957      correct? 0
[3604]  master A: 7192  master B: 10770  master ALUControl: 4  master result: 1  slave result: 1      correct? 1
[3605]  master A: 7194  master B: 10773  master ALUControl: 5  master result: 4294951392  slave result: 4294951392      correct? 1
[3606]  master A: 7196  master B: 10776  master ALUControl: 6  master result: 4294951392  slave result: 4294951392      correct? 1
[3607]  master A: 7198  master B: 10779  master ALUControl: 7  master result: 0  slave result: 0      correct? 1
[3608]  master A: 7200  master B: 10782  master ALUControl: 8  master result: 0  slave result: 0      correct? 1
[3609]  master A: 7202  master B: 10785  master ALUControl: 9  master result: 0  slave result: 0      correct? 1
[3610]  master A: 7204  master B: 10788  master ALUControl: 10  master result: 0  slave result: 0      correct? 1
[3611]  master A: 7206  master B: 10791  master ALUControl: 11  master result: 1275068472  slave result: 1275068472      correct? 1
[3612]  master A: 7208  master B: 10794  master ALUControl: 12  master result: 13826  slave result: 13826      correct? 1
[3613]  master A: 7210  master B: 10797  master ALUControl: 13  master result: 1  slave result: 1      correct? 1
[3614]  master A: 7212  master B: 10800  master ALUControl: 14  master result: 1  slave result: 1      correct? 1
[3615]  master A: 7214  master B: 10803  master ALUControl: 0  master result: 2082  slave result: 2082      correct? 1
[3616]  master A: 7216  master B: 10806  master ALUControl: 1  master result: 13830  slave result: 13830      correct? 1
[3617]  master A: 7218  master B: 10809  master ALUControl: 2  master result: 4294963705  slave result: 4294963705      correct? 1
[3618]  master A: 7220  master B: 10812  master ALUControl: 3  master result: 4294963704  slave result: 18032      correct? 0
[3619]  master A: 7222  master B: 10815  master ALUControl: 4  master result: 1  slave result: 1      correct? 1
[3620]  master A: 7224  master B: 10818  master ALUControl: 5  master result: 4294951301  slave result: 4294951301      correct? 1
[3621]  master A: 7226  master B: 10821  master ALUControl: 6  master result: 4294951301  slave result: 4294951301      correct? 1
[3622]  master A: 7228  master B: 10824  master ALUControl: 7  master result: 0  slave result: 0      correct? 1
